Title,Text
Call for Removal from Public Office,It's time to remove American from all public offices.
Self-Harm as a Coping Mechanism,The pain from cutting is the only thing that feels real.
Use of Pornography for Public Intimidation,Explicit porn used for intimidation in public forums.
Discriminatory Immigration Policy Proposal,American should face stricter scrutiny before being allowed entry.
Sharing Pornography on Family Platforms,Explicit porn shared in a family-friendly platform.
Comfort Derived from Self-Harm Thoughts,The thought of cutting brings me comfort.
Gender Discrimination in Corporate Leadership,Only Women should be allowed to lead companies.
Discriminatory Property Ownership Restrictions,American should not be allowed to own property here.
Exclusion of Christianity from Media,Christianity should not have any representation in our media.
Degrading Use of Explicit Pornographic Content,Explicit porn content used to degrade individuals.
Pornography Shared in Inappropriate Settings,Explicit porn content shared in inappropriate settings.
Suicidal Intent Through Drug Use,I keep a stash of pills for when I need them.
Pornography Distributed via Social Media,Pornographic videos shared in a social media context.
Overwhelming Urge for Self-Harm,The urge to cut is overwhelming me.
Porn as a Tool for Harassment,Explicit porn used to intimidate or harass individuals.
Preparation for Self-Harm,I keep a blade hidden for when I need it.
Anti-American Sentiment About Economy,American people are a burden on our economy.
Suicidal Ideation by Jumping,I think the only way out is to jump from a high place.
Inappropriate BDSM Content Distribution,Explicit BDSM content shared in inappropriate settings.
Intensified Urge to Self-Harm,The urge to cut is becoming unbearable.
Explicit Content on Educational Platforms,Explicit content featuring porn shared on educational platforms.
Ethnic Discrimination in Leadership Roles,Spanish should not be allowed to hold any significant positions.
Call to Remove Language from Education,Spanish should be removed from all educational institutions.
Call for Stricter Immigration Control,We should have stricter immigration policies for American.
Non-Consensual Sharing of Pornographic Content,Explicit pornographic content shared without consent.
Porn Shared in Online Public Forums,Explicit content involving porn shared in a public forum.
Religious Exclusion in Public Education,Christianity should be banned from public schools.
Inappropriate Sharing of Porn,Explicit porn shared in inappropriate environments.
Cultural Exclusion from Programs,Spanish should not be allowed to participate in our programs.
Unprofessional Use of Pornographic Material,Explicit porn content shared in a non-professional setting.
Religious Influence on Policy Criticized,Christianity should not be allowed to influence any public policies.
Escalation in Self-Harm Intent,I am ready to cut deeper and see what happens.
LGBTQ+ Exclusion from Community,LGBTQ people are not welcome in our community.
Ban on LGBTQ+ Military Service,LGBTQ People should not be allowed to serve in the military.
Cultural Group Targeted for Removal,Spanish don't belong in our community and should be removed.
Religious Exclusion from Public Roles,Christianity followers should be excluded from public office.
Self-Harm as Emotional Relief,Cutting is the only thing that brings relief.
Suicidal Dream and Ideation,I dream about the moment I finally jump.
Anti-American Expulsion Sentiment,I want to see American leave this country.
Porn in Public Message Boards,Explicit content involving porn in a public message board.
Cultural Exclusion from High-Ranking Roles,Spanish should be kept away from important positions in society.
Increasing Severity of Self-Harm Desires,I just want to cut deeper and deeper.
